user_id,age,gender,income,browsing_minutes,pages_viewed,click_rate,previous_purchase,purchase
USER_0350,37.0,0,11.9,49.7,24,0.081,0,0
USER_0286,29.0,0,12.7,35.6,8,0.608,1,1
USER_0244,60.0,0,6.6,15.9,6,0.311,0,0
USER_0312,22.0,1,6.8,88.3,40,0.737,1,1
USER_0480,34.0,1,17.8,31.6,9,0.434,0,0
USER_0498,22.0,0,16.1,48.4,12,0.575,0,1
USER_0040,31.0,1,15.2,64.2,28,0.663,1,1
USER_0074,23.0,1,17.6,13.6,3,0.396,0,1
USER_0377,25.0,1,13.6,50.7,12,0.628,0,1
USER_0237,40.0,1,11.4,42.1,17,0.417,0,1
USER_0046,33.0,1,17.5,49.0,11,0.525,1,1
USER_0228,35.0,0,3.9,48.2,20,0.477,0,1
USER_0012,28.0,1,3.6,180.0,83,0.132,1,1
USER_0034,22.0,1,9.9,68.4,16,0.747,0,0
USER_0077,42.0,1,10.2,33.2,12,0.474,0,0
USER_0018,18.0,1,11.2,29.6,11,0.306,0,0
USER_0153,27.0,0,13.9,58.5,16,0.566,0,1
USER_0379,23.0,1,11.3,31.7,15,0.475,0,1
USER_0145,24.0,0,17.8,180.0,86,0.733,1,1
USER_0122,30.0,1,4.1,26.0,12,0.483,1,0
USER_0234,34.0,1,12.0,69.9,33,0.3,0,1
USER_0144,38.0,0,7.6,28.3,6,0.646,1,1
USER_0366,38.0,0,13.5,61.6,25,0.706,0,1
USER_0273,37.0,1,22.9,52.2,24,0.671,0,1
USER_0045,,0,8.9,21.4,4,0.53,0,0
USER_0245,36.0,1,15.5,60.9,20,0.305,0,1
USER_0374,32.0,0,3.0,60.0,14,0.337,0,0
USER_0151,27.0,1,13.4,68.1,19,0.571,0,1
USER_0230,33.0,0,3.0,38.0,12,0.771,0,1
USER_0389,26.0,0,8.0,34.7,7,0.477,0,0
USER_0403,20.0,0,9.8,6.4,3,0.727,1,0
USER_0137,,1,6.6,53.2,14,0.711,1,1
USER_0066,39.0,0,7.1,67.8,16,0.535,1,0
USER_0394,35.0,0,12.4,23.8,7,0.111,1,1
USER_0309,18.0,0,3.6,40.1,17,0.268,0,0
USER_0200,25.0,0,8.8,40.0,8,0.147,0,1
USER_0366,38.0,0,10.2,69.7,25,0.774,0,1
USER_0183,34.0,1,11.8,32.4,15,0.794,1,0
USER_0146,43.0,1,13.5,20.1,9,0.437,0,0
USER_0252,30.0,1,18.6,13.9,4,0.709,0,0
USER_0461,,1,18.6,23.4,8,0.64,0,1
USER_0421,44.0,1,15.5,36.4,14,0.404,1,0
USER_0330,37.0,0,13.3,29.9,11,0.618,0,1
USER_0301,42.0,0,10.0,38.5,14,0.621,1,1
USER_0156,32.0,0,18.0,53.2,25,0.187,0,0
USER_0207,32.0,0,4.8,65.5,29,0.358,0,1
USER_0190,24.0,0,14.5,41.6,10,0.42,1,1
USER_0357,32.0,1,12.4,105.3,48,0.757,0,1
USER_0168,42.0,0,3.0,35.5,16,0.135,0,0
USER_0090,,1,16.6,6.8,3,0.433,1,1
USER_0207,32.0,0,18.4,52.8,25,0.723,0,1
USER_0360,27.0,0,6.3,45.1,17,0.575,0,0
USER_0122,30.0,1,12.4,7.6,3,0.2,1,0
USER_0056,26.0,0,11.9,54.3,17,0.494,0,0
USER_0156,32.0,0,10.4,50.1,16,0.533,0,0
USER_0184,,0,21.2,34.8,17,0.615,1,1
USER_0031,20.0,1,11.1,68.4,15,0.35,1,1
USER_0051,37.0,0,6.3,54.1,18,0.059,1,1
USER_0133,32.0,0,9.7,63.2,28,0.363,1,0
USER_0211,53.0,0,12.4,48.4,13,0.473,1,0
USER_0350,37.0,0,7.7,90.0,40,0.779,1,1
USER_0431,,0,9.9,29.0,12,0.234,1,0
USER_0468,32.0,0,11.5,97.5,42,0.612,0,1
USER_0018,18.0,1,18.1,44.5,11,0.567,0,1
USER_0320,41.0,1,19.1,45.8,19,0.6,0,0
USER_0062,28.0,1,17.9,45.5,9,0.696,1,0
USER_0497,18.0,1,15.7,29.8,8,0.139,0,1
USER_0036,27.0,1,14.6,90.6,30,0.385,0,1
USER_0073,30.0,1,15.1,43.5,15,0.244,1,1
USER_0283,36.0,1,7.7,36.1,14,0.286,0,1
USER_0282,31.0,0,11.1,54.4,24,0.443,1,1
USER_0355,36.0,0,5.9,23.8,5,0.739,0,0
USER_0351,25.0,0,16.1,41.3,18,0.325,0,0
USER_0145,24.0,0,16.3,69.3,34,0.764,1,1
USER_0175,21.0,0,17.1,64.5,23,0.635,1,1
USER_0062,28.0,1,7.7,20.7,10,0.734,0,0
USER_0307,24.0,1,6.9,52.2,22,0.634,1,1
USER_0226,22.0,0,13.2,39.2,10,0.126,1,1
USER_0006,30.0,0,16.9,29.0,10,0.49,0,1
USER_0151,27.0,1,17.2,33.1,13,0.547,0,0
USER_0283,36.0,1,7.1,51.9,11,0.057,0,0
USER_0009,44.0,1,13.0,81.4,31,0.144,0,0
USER_0172,34.0,1,5.1,34.0,15,0.713,0,1
USER_0045,,0,18.9,25.1,8,0.383,0,0
USER_0230,33.0,0,3.1,44.9,21,0.477,0,0
USER_0185,26.0,0,13.8,22.8,5,0.358,1,0
USER_0352,27.0,1,9.4,31.9,15,0.714,1,1
USER_0337,36.0,1,14.3,43.9,21,0.566,1,0
USER_0477,23.0,0,12.3,81.8,30,0.673,0,1
USER_0281,25.0,0,11.8,52.7,14,0.224,0,1
USER_0031,20.0,1,18.0,70.3,18,0.656,1,1
USER_0247,39.0,0,13.7,20.7,7,0.663,1,1
USER_0228,35.0,0,16.4,21.8,6,0.103,0,0
USER_0194,39.0,1,14.7,36.6,13,0.163,0,1
USER_0302,26.0,0,10.6,11.3,3,0.418,1,0
USER_0312,22.0,1,15.5,53.2,18,0.09,1,0
USER_0050,33.0,1,3.0,52.1,25,0.781,1,1
USER_0431,,0,6.8,59.3,24,0.273,0,0
USER_0453,24.0,0,11.3,34.4,10,0.313,1,0
USER_0112,28.0,0,11.5,39.6,13,0.1,0,0
USER_0226,22.0,0,12.8,44.7,9,0.08,1,0
USER_0337,36.0,1,10.9,13.5,3,0.453,1,1
USER_0206,38.0,1,6.8,111.4,30,0.695,0,1
USER_0278,33.0,1,13.5,102.1,42,0.73,0,1
USER_0365,38.0,0,15.2,35.3,14,0.452,1,0
USER_0182,33.0,0,11.6,37.6,13,0.427,1,1
USER_0047,,0,18.2,61.8,13,0.44,0,1
USER_0387,,1,11.2,26.5,8,0.516,1,1
USER_0042,,0,9.5,56.4,12,0.252,1,0
USER_0446,27.0,1,13.6,64.2,13,0.179,0,1
USER_0146,43.0,1,3.0,15.1,4,0.176,0,0
USER_0311,29.0,1,12.1,44.4,15,0.27,1,1
USER_0111,29.0,0,8.4,28.1,13,0.536,1,1
USER_0286,29.0,0,12.4,20.0,7,0.068,1,1
USER_0385,31.0,1,21.7,29.3,12,0.712,0,0
USER_0207,32.0,0,12.0,6.0,3,0.226,0,0
USER_0051,37.0,0,11.0,5.3,3,0.605,1,1
USER_0406,30.0,1,12.7,90.5,22,0.425,1,1
USER_0170,,0,14.6,54.7,23,0.088,0,0
USER_0057,28.0,0,5.7,5.0,3,0.609,1,1
USER_0446,27.0,1,11.5,32.4,8,0.352,1,0
USER_0040,31.0,1,17.5,35.7,11,0.105,0,0
USER_0337,36.0,1,5.2,54.1,20,0.496,1,1
USER_0178,34.0,0,11.6,44.7,13,0.719,1,1
USER_0391,30.0,1,9.8,30.3,13,0.569,0,1
USER_0160,44.0,0,10.0,46.7,20,0.338,1,0
USER_0077,42.0,1,13.8,56.3,16,0.217,1,1
USER_0040,31.0,1,3.0,61.0,21,0.58,1,1
USER_0072,28.0,1,7.9,110.4,48,0.384,0,1
USER_0119,28.0,0,13.4,69.1,26,0.545,1,1
USER_0110,26.0,1,3.0,51.7,12,0.52,0,1
USER_0100,25.0,1,14.7,63.5,29,0.504,1,1
USER_0311,29.0,1,12.2,32.9,14,0.183,1,1
USER_0283,36.0,1,8.9,24.7,5,0.309,0,0
USER_0194,39.0,1,13.8,18.0,7,0.444,0,1
USER_0029,30.0,0,14.7,63.2,26,0.509,0,1
USER_0182,33.0,0,5.1,180.0,78,0.329,0,1
USER_0155,,1,10.3,70.3,19,0.3,0,0
USER_0227,33.0,1,16.4,66.6,33,0.687,1,0
USER_0200,25.0,0,13.3,27.8,10,0.413,0,1
USER_0042,,0,7.6,21.8,7,0.342,1,0
USER_0322,24.0,1,3.2,23.0,11,0.565,0,0
USER_0227,33.0,1,15.5,91.9,43,0.175,1,0
USER_0060,18.0,0,16.0,39.1,17,0.406,1,1
USER_0211,53.0,0,18.3,73.1,15,0.151,1,0
USER_0244,60.0,0,12.5,42.7,11,0.341,1,1
USER_0141,22.0,1,10.6,61.0,14,0.45,0,1
USER_0288,,1,12.8,25.7,12,0.788,0,0
USER_0033,32.0,1,18.1,123.1,40,0.155,0,1
USER_0459,18.0,0,18.5,23.2,8,0.49,0,0
USER_0292,35.0,1,12.4,50.6,16,0.422,1,1
USER_0145,24.0,0,9.4,20.3,4,0.392,1,1
USER_0059,34.0,0,20.4,42.7,20,0.29,0,1
USER_0127,,1,13.0,49.1,18,0.245,1,1
USER_0315,20.0,1,16.1,38.1,17,0.267,0,1
USER_0194,39.0,1,6.4,41.8,17,0.071,0,1
USER_0110,26.0,1,7.7,53.3,15,0.122,0,1
USER_0003,30.0,0,15.4,61.9,18,0.466,1,1
USER_0061,34.0,1,10.8,32.7,16,0.479,0,0
USER_0031,20.0,1,15.0,71.3,20,0.056,1,1
USER_0219,31.0,0,14.6,37.8,10,0.284,0,1
USER_0074,23.0,1,11.1,24.5,6,0.155,0,0
USER_0411,30.0,0,20.6,71.6,32,0.285,1,1
USER_0067,25.0,1,10.5,70.2,17,0.35,1,1
USER_0311,29.0,1,13.1,44.4,12,0.5,1,0
USER_0160,44.0,0,15.6,33.4,7,0.545,1,0
USER_0263,32.0,1,12.5,19.2,8,0.778,1,1
USER_0200,25.0,0,7.8,17.7,4,0.592,0,1
USER_0116,32.0,0,19.9,53.4,13,0.42,0,1
USER_0156,32.0,0,9.9,50.2,11,0.427,1,1
USER_0237,40.0,1,13.2,39.9,18,0.8,1,1
USER_0009,44.0,1,13.7,43.8,21,0.707,0,1
USER_0044,22.0,0,3.0,39.1,18,0.2,0,0
USER_0190,24.0,0,9.2,48.9,14,0.644,0,0
USER_0500,,1,17.0,41.8,11,0.731,1,0
USER_0287,28.0,1,9.7,8.0,3,0.607,0,1
USER_0330,37.0,0,7.8,36.1,14,0.25,0,1
USER_0110,26.0,1,9.2,42.7,12,0.136,0,1
USER_0098,43.0,1,5.9,66.2,14,0.298,1,0
USER_0042,,0,16.6,43.2,16,0.221,1,1
USER_0324,33.0,0,13.8,31.1,15,0.589,0,0
USER_0379,23.0,1,6.3,37.5,17,0.428,0,1
USER_0086,18.0,0,7.4,53.4,18,0.72,0,1
USER_0228,35.0,0,13.0,71.8,23,0.123,0,0
USER_0023,34.0,1,11.9,55.7,25,0.656,0,1
USER_0182,33.0,0,22.0,62.8,26,0.187,0,1
USER_0044,22.0,0,18.4,49.3,22,0.301,0,0
USER_0207,32.0,0,10.2,37.1,14,0.188,0,1
USER_0070,34.0,1,14.1,84.6,35,0.15,1,1
USER_0089,,1,14.4,41.4,17,0.6,0,1
USER_0310,23.0,0,10.6,46.8,12,0.543,0,0
USER_0207,32.0,0,5.6,37.0,10,0.338,1,1
USER_0222,28.0,0,14.8,103.9,35,0.165,0,1
USER_0338,34.0,0,11.0,46.7,9,0.295,1,0
USER_0378,48.0,1,10.0,60.0,24,0.409,1,1
USER_0015,28.0,0,15.0,132.1,56,0.737,1,1
USER_0436,,0,10.4,33.0,8,0.572,0,0
USER_0472,23.0,1,13.8,21.0,10,0.783,0,1
USER_0178,34.0,0,16.9,37.3,12,0.768,1,1
USER_0428,,1,18.6,64.5,13,0.099,1,0
USER_0279,26.0,1,20.2,59.1,25,0.614,1,1
USER_0352,27.0,1,14.2,49.5,23,0.427,0,0
USER_0484,32.0,0,7.0,93.0,26,0.212,0,1
USER_0493,24.0,0,3.0,5.0,3,0.319,1,0
USER_0498,22.0,0,10.3,72.5,28,0.068,0,1
USER_0021,27.0,1,12.4,92.7,44,0.8,1,1
USER_0296,40.0,1,16.3,88.8,44,0.444,1,1
USER_0182,33.0,0,10.2,24.2,6,0.456,1,0
USER_0348,34.0,1,7.8,59.7,27,0.114,0,0
USER_0345,34.0,0,19.6,45.2,14,0.526,1,0
USER_0233,22.0,0,9.8,43.4,9,0.257,1,1
USER_0087,38.0,1,13.1,33.0,15,0.732,0,1
USER_0385,31.0,1,18.5,65.7,32,0.377,1,1
USER_0292,35.0,1,14.4,46.5,21,0.697,1,1
USER_0119,28.0,0,18.8,180.0,89,0.554,1,1
USER_0272,49.0,0,15.0,92.2,33,0.695,0,1
USER_0019,18.0,1,16.2,37.2,13,0.327,1,0
USER_0247,39.0,0,19.6,13.2,5,0.453,0,0
USER_0284,38.0,0,9.0,54.0,20,0.24,1,1
USER_0037,29.0,1,17.9,27.7,5,0.624,0,1
USER_0090,,1,15.2,41.7,11,0.292,1,0
USER_0070,34.0,1,8.6,35.6,10,0.767,1,1
USER_0337,36.0,1,12.6,29.8,10,0.653,1,1
USER_0257,,0,14.4,180.0,55,0.363,1,1
USER_0111,29.0,0,13.2,51.2,11,0.641,1,1
USER_0240,24.0,0,12.3,40.9,20,0.303,0,0
USER_0229,24.0,0,13.8,26.0,9,0.271,1,1
USER_0178,34.0,0,9.7,77.5,19,0.521,1,1
USER_0477,23.0,0,8.7,31.2,10,0.444,0,1
USER_0317,33.0,0,9.1,35.9,10,0.249,0,0
USER_0068,,1,14.2,33.6,12,0.358,1,1
USER_0351,25.0,0,5.6,70.4,34,0.352,1,1
USER_0213,25.0,0,17.8,36.6,9,0.435,0,1
USER_0446,27.0,1,9.8,25.6,10,0.408,0,0
USER_0104,34.0,0,18.7,30.6,6,0.362,1,1
USER_0006,30.0,0,9.8,29.2,6,0.622,1,0
USER_0324,33.0,0,11.0,58.6,17,0.549,1,1
USER_0391,30.0,1,12.1,47.3,14,0.502,1,1
USER_0038,27.0,0,14.7,67.6,20,0.257,0,1
USER_0225,,0,7.5,33.6,12,0.534,1,1
USER_0069,29.0,0,11.7,27.8,12,0.54,1,1
USER_0274,18.0,0,8.5,41.7,13,0.636,0,0
USER_0263,32.0,1,10.1,19.3,4,0.483,1,1
USER_0382,38.0,0,9.0,6.9,3,0.221,0,0
USER_0472,23.0,1,12.8,45.4,15,0.797,1,1
USER_0051,37.0,0,12.1,49.0,16,0.33,1,1
USER_0042,,0,3.0,38.0,17,0.617,1,0
USER_0054,29.0,1,19.0,32.5,8,0.458,1,1
USER_0479,42.0,1,18.9,57.9,24,0.334,0,1
USER_0089,,1,11.6,48.2,21,0.599,1,0
USER_0202,25.0,0,14.3,82.6,36,0.054,0,0
USER_0345,34.0,0,14.5,36.3,9,0.196,1,0
USER_0222,28.0,0,3.9,42.7,8,0.418,1,0
USER_0144,38.0,0,17.4,36.4,13,0.519,1,1
USER_0320,41.0,1,10.6,36.7,11,0.603,0,0
USER_0110,26.0,1,13.4,39.1,15,0.629,0,0
USER_0366,38.0,0,12.0,26.4,6,0.491,1,1
USER_0090,,1,10.6,86.9,39,0.263,1,0
USER_0098,43.0,1,10.5,39.9,12,0.287,1,1
USER_0389,26.0,0,10.5,33.6,11,0.755,1,1
USER_0343,,0,14.4,30.1,14,0.788,0,1
USER_0433,35.0,1,8.4,48.5,12,0.343,1,1
USER_0472,23.0,1,8.1,36.3,10,0.444,1,0
USER_0330,37.0,0,16.1,43.9,21,0.137,0,1
USER_0226,22.0,0,3.5,31.8,15,0.683,0,1
USER_0001,35.0,0,11.8,64.2,17,0.152,1,1
USER_0119,28.0,0,15.0,28.2,11,0.602,1,1
USER_0090,,1,8.9,5.4,3,0.073,1,1
USER_0476,37.0,0,9.1,26.7,11,0.572,0,0
USER_0190,24.0,0,6.1,51.4,23,0.531,0,0
USER_0069,29.0,0,19.3,24.2,8,0.772,1,1
USER_0064,36.0,0,12.5,24.3,7,0.13,0,1
USER_0081,26.0,0,12.5,29.4,6,0.603,0,1
USER_0287,28.0,1,11.0,24.7,7,0.726,0,1
USER_0201,24.0,1,16.6,24.6,5,0.78,0,1
USER_0036,27.0,1,6.2,32.1,12,0.092,1,0
USER_0318,43.0,1,11.1,23.4,8,0.152,0,1
USER_0052,33.0,0,12.2,64.4,15,0.389,0,1
USER_0044,22.0,0,11.2,58.8,17,0.776,0,0
USER_0099,27.0,1,6.1,33.0,7,0.647,1,0
USER_0349,38.0,1,14.6,180.0,39,0.199,0,0
USER_0281,25.0,0,13.9,64.2,17,0.421,0,0
USER_0114,34.0,1,19.6,35.4,14,0.413,0,1
USER_0384,37.0,0,14.5,34.3,14,0.218,0,0
USER_0029,30.0,0,8.2,51.1,19,0.387,0,1
USER_0190,24.0,0,4.8,32.1,15,0.652,0,0
USER_0268,33.0,1,8.0,37.0,8,0.75,0,0
USER_0045,,0,3.0,41.4,18,0.298,0,0
USER_0440,33.0,0,16.7,57.2,22,0.594,1,0
USER_0226,22.0,0,17.0,52.0,19,0.088,1,0
USER_0140,,0,10.4,32.7,8,0.498,0,0
USER_0145,24.0,0,7.6,71.3,21,0.551,0,1
USER_0368,32.0,1,9.5,44.8,10,0.43,0,1
USER_0005,44.0,1,17.6,168.5,82,0.666,1,1
USER_0033,32.0,1,7.2,130.7,59,0.274,1,1
USER_0091,,0,12.9,20.2,5,0.349,0,0
USER_0096,30.0,1,3.0,20.0,9,0.634,0,1
USER_0472,23.0,1,3.0,58.6,19,0.692,0,1
USER_0279,26.0,1,11.2,32.9,15,0.748,0,0
USER_0040,31.0,1,3.0,32.3,8,0.684,0,0
USER_0292,35.0,1,3.5,31.0,7,0.299,1,0
USER_0086,18.0,0,3.0,35.4,15,0.14,0,1
USER_0263,32.0,1,9.5,36.4,17,0.499,1,1
USER_0118,20.0,0,9.3,62.5,29,0.693,1,1
USER_0070,34.0,1,14.6,48.3,12,0.554,0,0
USER_0119,28.0,0,6.8,28.7,9,0.626,1,1
USER_0261,28.0,0,3.4,55.8,16,0.162,1,0
USER_0083,44.0,1,15.2,31.5,14,0.248,0,0
USER_0067,25.0,1,5.1,49.8,10,0.319,1,0
USER_0242,36.0,1,12.8,25.4,7,0.645,0,1
USER_0064,36.0,0,14.7,44.3,10,0.523,0,0
USER_0446,27.0,1,11.5,36.0,16,0.736,0,1
USER_0449,34.0,1,4.7,41.2,19,0.771,1,1
USER_0289,26.0,1,13.2,80.5,24,0.512,1,1
USER_0101,,1,5.1,46.8,15,0.148,1,1
USER_0204,34.0,0,8.1,94.7,25,0.704,0,1
USER_0192,41.0,0,10.6,46.3,19,0.204,1,1
USER_0064,36.0,0,14.7,5.0,3,0.318,0,0
USER_0057,28.0,0,6.6,53.1,22,0.42,1,1
USER_0399,33.0,0,3.7,39.6,17,0.224,1,0
USER_0034,22.0,1,9.4,27.5,9,0.417,0,0
USER_0257,,0,15.6,36.2,13,0.322,1,1
USER_0464,19.0,0,18.0,50.6,23,0.739,0,1
USER_0122,30.0,1,12.7,48.4,9,0.501,1,1
USER_0475,36.0,1,14.0,5.0,3,0.379,1,1
USER_0138,34.0,0,12.4,47.3,22,0.095,1,1
USER_0219,31.0,0,6.2,29.5,10,0.145,1,1
USER_0384,37.0,0,12.8,23.9,6,0.164,1,0
USER_0187,35.0,1,12.8,42.8,19,0.421,0,1
USER_0437,49.0,0,10.3,75.3,29,0.154,1,1
USER_0467,32.0,1,17.0,33.5,11,0.271,1,1
USER_0301,42.0,0,13.7,33.8,12,0.762,0,0
USER_0050,33.0,1,18.2,53.1,22,0.137,0,0
USER_0493,24.0,0,22.7,42.9,14,0.721,1,0
USER_0320,41.0,1,10.9,26.8,5,0.075,1,0
USER_0040,31.0,1,9.8,54.2,14,0.12,0,1
