user_id,age,gender,income,browsing_minutes,pages_viewed,click_rate,previous_purchase,purchase,purchase_amount,purchase_date,user_segment
USER_0319,20.0,0,16.285791942116443,30.7,12,0.055,1,0,58.24,2024-07-30,低消费高频
USER_0450,47.0,0,10.020848116650361,26.9,9,0.429,0,0,75.21,2024-08-09,低消费高频
USER_0143,38.0,0,15.98350963535371,47.7,11,0.229,0,0,44.94,2024-05-06,低消费低频
USER_0086,18.0,0,11.065983043694988,40.0,9,0.547,0,1,76.37,2024-03-05,高消费高频
USER_0324,33.0,0,14.785489792854978,28.3,6,0.141,0,0,114.66,2024-02-23,低消费高频
USER_0475,36.0,1,13.950963053027014,43.5,13,0.212,1,0,119.03,2024-11-07,低消费高频
USER_0239,20.0,0,13.985233349411999,46.8,18,0.689,1,1,164.13,2024-12-08,低消费高频
USER_0320,41.0,1,3.6599242816614694,57.1,19,0.181,1,1,65.53,2024-10-25,低消费高频
USER_0007,30.0,0,22.71135179305932,56.9,20,0.563,1,1,545.98,2024-01-19,高消费低频
USER_0415,29.0,1,11.158311828814046,50.4,21,0.167,0,0,47.23,2024-07-17,低消费高频
USER_0198,,0,8.364502299120176,34.6,12,0.332,1,1,183.51,2024-06-01,低消费高频
USER_0306,,1,11.789247341592661,38.2,15,0.203,1,0,94.63,2024-01-30,低消费低频
USER_0244,60.0,0,17.487149157082907,28.3,8,0.616,1,1,83.17,2024-01-04,低消费高频
USER_0415,29.0,1,10.690274967878231,51.0,21,0.574,1,0,39.97,2024-01-30,低消费高频
USER_0007,30.0,0,12.190017390841001,63.7,31,0.125,1,1,447.51,2024-02-20,高消费低频
USER_0462,31.0,0,18.26444497706829,144.0,35,0.435,1,1,2580.19,2024-06-01,异常用户
USER_0354,,0,5.78242163837954,46.1,12,0.165,0,0,83.79,2024-02-06,低消费低频
USER_0487,48.0,0,6.286046525017996,34.2,10,0.751,1,1,72.57,2024-09-13,低消费高频
USER_0064,36.0,0,15.83233684055798,86.5,31,0.22,0,1,1084.67,2024-04-07,低消费高频
USER_0499,18.0,1,19.532643181561333,28.6,9,0.415,0,1,60.58,2024-03-18,低消费低频
USER_0276,,0,4.3976870876455685,71.3,31,0.173,1,1,485.62,2024-12-24,高消费低频
USER_0307,24.0,1,6.243866712464279,45.5,14,0.429,1,1,120.01,2024-02-12,低消费高频
USER_0225,,0,12.901474402517222,57.9,12,0.651,1,1,493.94,2024-01-28,高消费高频
USER_0112,28.0,0,12.798238847039515,48.4,21,0.33,1,0,68.21,2024-05-21,低消费高频
USER_0004,37.0,0,11.344807965005021,38.5,16,0.208,0,1,57.62,2024-02-20,低消费低频
USER_0225,,0,15.333139417284453,44.5,14,0.726,0,0,167.77,2024-04-29,高消费高频
USER_0430,25.0,1,4.042509229863288,11.4,3,0.155,1,1,203.77,2024-04-17,高消费高频
USER_0316,28.0,1,8.88024291879366,28.2,12,0.407,0,1,104.6,2024-04-19,低消费高频
USER_0150,24.0,0,15.349040490046692,151.2,56,0.235,0,1,2699.89,2024-02-02,异常用户
USER_0072,28.0,1,8.463533096820191,40.6,11,0.614,1,0,117.81,2024-06-18,低消费高频
USER_0311,29.0,1,9.755458063434968,33.3,10,0.162,1,0,181.65,2024-05-16,高消费高频
USER_0189,37.0,0,12.629506941974794,64.7,27,0.505,0,1,284.09,2024-05-19,高消费低频
USER_0397,25.0,1,19.419450768838807,29.0,9,0.493,1,1,166.45,2024-01-18,低消费高频
USER_0159,24.0,1,5.4920600859833435,20.1,7,0.744,0,0,102.17,2024-12-23,低消费低频
USER_0005,44.0,1,21.233184980238327,17.3,8,0.496,0,0,89.31,2024-02-06,低消费高频
USER_0390,39.0,1,5.437881622366308,77.6,28,0.294,1,1,769.24,2024-06-13,高消费高频
USER_0034,22.0,1,6.448002413519896,24.4,10,0.512,0,0,46.67,2024-10-14,低消费高频
USER_0385,31.0,1,17.886043937084573,47.5,10,0.391,0,0,234.62,2024-07-25,高消费高频
USER_0379,23.0,1,12.382590311218557,55.2,27,0.091,1,0,222.33,2024-11-08,高消费高频
USER_0040,31.0,1,13.737651880790372,72.1,15,0.738,0,1,492.94,2024-06-29,高消费高频
USER_0049,21.0,1,10.41963571986475,25.0,10,0.584,0,1,85.92,2024-09-16,低消费高频
USER_0488,46.0,1,15.176759056495701,40.8,9,0.11,0,0,118.55,2024-02-06,低消费高频
USER_0346,26.0,1,15.216750897848756,15.0,7,0.369,1,1,24.46,2024-11-14,低消费低频
USER_0216,30.0,1,14.423453898092042,29.2,12,0.602,1,1,66.72,2024-10-04,低消费低频
USER_0475,36.0,1,15.189491581299624,44.1,18,0.66,1,1,102.48,2024-06-06,低消费高频
USER_0090,,1,10.372063214234391,40.8,19,0.469,1,0,59.14,2024-11-16,低消费高频
USER_0496,40.0,1,15.17040468376488,58.0,24,0.207,0,1,580.53,2024-07-26,高消费低频
USER_0194,39.0,1,10.276112773205519,51.9,21,0.236,0,0,332.07,2024-06-29,高消费高频
USER_0003,30.0,0,17.846477952228362,63.5,24,0.239,1,1,350.73,2024-08-20,高消费高频
USER_0121,25.0,0,10.76808298742726,31.6,9,0.309,1,0,121.28,2024-11-16,低消费高频
USER_0381,41.0,0,14.266109511414486,30.9,11,0.637,0,1,108.24,2024-02-04,低消费高频
USER_0046,33.0,1,14.106899055490413,44.3,18,0.739,0,1,131.52,2024-03-10,低消费高频
USER_0207,32.0,0,16.53272078554982,18.2,8,0.54,0,0,179.57,2024-07-06,低消费高频
USER_0282,31.0,0,6.2770536233011205,62.4,26,0.33,1,1,495.17,2024-08-14,高消费低频
USER_0046,33.0,1,19.45959823172636,39.7,19,0.135,1,0,69.89,2024-09-10,低消费高频
USER_0409,43.0,0,22.088879065875325,24.8,11,0.145,0,0,90.29,2024-04-12,低消费高频
USER_0228,35.0,0,7.329228964752291,85.4,17,0.667,0,1,489.49,2024-01-31,高消费高频
USER_0269,32.0,0,8.849757843258296,14.2,3,0.13,1,1,86.9,2024-05-07,低消费高频
USER_0034,22.0,1,10.522293799267254,33.4,15,0.451,0,0,49.53,2024-11-29,低消费高频
USER_0034,22.0,1,11.741779224174575,18.4,4,0.193,0,0,100.86,2024-12-14,低消费高频
USER_0242,36.0,1,5.749872336079755,5.0,3,0.17,1,0,35.44,2024-05-14,低消费高频
USER_0221,19.0,0,14.548415386211644,95.6,24,0.263,0,0,1127.12,2024-10-13,低消费高频
USER_0409,43.0,0,7.8342923833551685,14.8,6,0.275,0,0,90.62,2024-04-22,低消费高频
USER_0363,30.0,1,10.95897371005017,61.8,25,0.326,0,0,314.35,2024-01-29,高消费高频
USER_0467,32.0,1,1.7360878341473729,53.6,13,0.215,1,1,257.85,2024-08-23,高消费高频
USER_0101,,1,14.377153412633117,42.8,19,0.663,1,1,125.24,2024-07-01,高消费高频
USER_0219,31.0,0,17.362708997863795,28.0,12,0.779,1,1,78.62,2024-04-11,低消费高频
USER_0005,44.0,1,5.74230287904778,36.5,9,0.503,1,0,191.3,2024-02-11,低消费高频
USER_0208,,1,7.128547195866853,29.8,11,0.508,1,1,34.09,2024-10-23,低消费高频
USER_0315,20.0,1,13.906223275810493,45.9,21,0.389,0,0,95.82,2024-12-02,低消费高频
USER_0446,27.0,1,8.35304332814913,45.6,19,0.122,1,1,118.94,2024-11-07,低消费高频
USER_0365,38.0,0,15.42357427024946,5.0,3,0.781,1,1,70.98,2024-05-24,低消费高频
USER_0263,32.0,1,23.270190544605597,30.6,13,0.2,0,0,37.89,2024-11-05,低消费高频
USER_0324,33.0,0,-0.3622282904717391,34.7,14,0.409,0,1,33.57,2024-07-04,低消费高频
USER_0119,28.0,0,19.102521436355318,26.6,12,0.622,1,1,261.26,2024-09-23,高消费高频
USER_0116,32.0,0,4.021816195551585,45.4,14,0.72,0,0,337.71,2024-03-04,高消费高频
USER_0031,20.0,1,4.371718427149526,58.4,18,0.772,0,0,130.12,2024-11-11,高消费高频
USER_0119,28.0,0,17.697777680127345,32.5,15,0.356,0,0,307.98,2024-04-19,高消费高频
USER_0384,37.0,0,16.62005528628586,45.9,16,0.541,0,1,82.41,2024-06-22,低消费高频
USER_0025,20.0,1,6.149434869703202,73.4,18,0.231,1,1,571.5,2024-10-01,高消费低频
USER_0458,28.0,0,20.176493006583023,49.1,13,0.274,1,1,241.27,2024-01-18,低消费高频
USER_0170,,0,14.643873391794429,34.7,12,0.164,0,0,82.48,2024-08-07,低消费高频
USER_0374,32.0,0,11.30467200765396,21.7,10,0.378,0,1,242.55,2024-02-10,低消费高频
USER_0254,28.0,1,12.612803994139291,6.9,3,0.358,0,0,54.94,2024-03-14,低消费高频
USER_0296,40.0,1,12.472034767020801,65.0,26,0.687,0,1,642.21,2024-07-13,高消费低频
USER_0252,30.0,1,4.992350765337408,52.6,22,0.313,1,1,61.08,2024-05-08,低消费高频
USER_0229,24.0,0,25.553971495202664,26.8,10,0.567,1,1,243.81,2024-05-13,高消费低频
USER_0328,28.0,1,8.496868148807119,25.7,6,0.082,1,1,146.61,2024-02-01,低消费高频
USER_0448,33.0,0,20.948494947981917,20.8,8,0.283,0,0,106.99,2024-05-30,低消费高频
USER_0185,26.0,0,9.899861363529187,39.1,14,0.75,1,0,125.99,2024-06-11,低消费高频
USER_0448,33.0,0,12.75261602784348,36.3,14,0.685,0,1,43.6,2024-11-24,低消费高频
USER_0141,22.0,1,14.889892618197786,46.7,14,0.507,1,1,134.9,2024-12-20,低消费高频
USER_0350,37.0,0,11.92865411202721,49.7,24,0.081,0,0,472.04,2024-10-29,高消费高频
USER_0286,29.0,0,12.695207385566931,35.6,8,0.608,1,1,577.15,2024-03-25,低消费低频
USER_0244,60.0,0,6.575606118618301,15.9,6,0.311,0,0,32.81,2024-11-28,低消费高频
USER_0312,22.0,1,6.811475889827623,88.3,40,0.737,1,1,594.2,2024-06-09,高消费高频
USER_0480,34.0,1,17.78923425729787,31.6,9,0.434,0,0,10.0,2024-06-01,低消费高频
USER_0498,22.0,0,16.12257578009298,48.4,12,0.575,0,1,528.3,2024-10-21,高消费低频
USER_0040,31.0,1,15.209652674807757,64.2,28,0.663,1,1,604.43,2024-01-18,高消费高频
USER_0074,23.0,1,17.564528336904658,13.6,3,0.396,0,1,193.52,2024-01-28,低消费高频
USER_0377,25.0,1,13.62625837927172,50.7,12,0.628,0,1,751.51,2024-10-21,高消费低频
USER_0237,40.0,1,11.411663489035734,42.1,17,0.417,0,1,50.67,2024-04-17,低消费高频
USER_0046,33.0,1,17.505778811236432,49.0,11,0.525,1,1,94.96,2024-12-18,低消费高频
USER_0228,35.0,0,3.851334173769022,48.2,20,0.477,0,1,488.69,2024-01-12,高消费高频
USER_0012,28.0,1,3.5760730258976903,180.0,83,0.132,1,1,3113.71,2024-07-04,异常用户
USER_0034,22.0,1,9.86621441558823,68.4,16,0.747,0,0,418.15,2024-03-11,低消费高频
USER_0077,42.0,1,10.201851637737688,33.2,12,0.474,0,0,108.19,2024-04-01,高消费高频
USER_0018,18.0,1,11.20388060951645,29.6,11,0.306,0,0,32.4,2024-07-11,低消费高频
USER_0153,27.0,0,13.915840948794502,58.5,16,0.566,0,1,83.82,2024-12-21,低消费高频
USER_0379,23.0,1,11.331861351366143,31.7,15,0.475,0,1,256.83,2024-05-05,高消费高频
USER_0145,24.0,0,17.831852728346263,180.0,86,0.733,1,1,5613.55,2024-05-05,高消费高频
USER_0122,30.0,1,4.142109606604111,26.0,12,0.483,1,0,121.76,2024-11-17,低消费高频
USER_0234,34.0,1,12.01073141063271,69.9,33,0.3,0,1,62.47,2024-04-26,低消费高频
USER_0144,38.0,0,7.577484634699901,28.3,6,0.646,1,1,17.29,2024-08-20,低消费高频
USER_0366,38.0,0,13.527231219301866,61.6,25,0.706,0,1,159.14,2024-12-20,低消费高频
USER_0273,37.0,1,22.928653083612872,52.2,24,0.671,0,1,574.48,2024-01-13,高消费低频
USER_0045,,0,8.89576200874442,21.4,4,0.53,0,0,63.72,2024-11-18,低消费高频
USER_0245,36.0,1,15.521681049270395,60.9,20,0.305,0,1,329.32,2024-11-27,高消费低频
USER_0374,32.0,0,-0.1690825267246332,60.0,14,0.337,0,0,79.85,2024-02-29,低消费高频
USER_0151,27.0,1,13.433870561912931,68.1,19,0.571,0,1,675.08,2024-01-23,高消费高频
USER_0230,33.0,0,-0.39319059563961645,38.0,12,0.771,0,1,129.57,2024-06-17,低消费高频
USER_0389,26.0,0,7.983197836171531,34.7,7,0.477,0,0,59.27,2024-05-30,低消费高频
USER_0403,20.0,0,9.794116546031198,6.4,3,0.727,1,0,79.4,2024-06-03,低消费高频
USER_0137,,1,6.649042185528342,53.2,14,0.711,1,1,555.66,2024-07-26,高消费低频
USER_0066,39.0,0,7.060955827059901,67.8,16,0.535,1,0,1096.21,2024-01-24,高消费低频
USER_0394,35.0,0,12.357690812253017,23.8,7,0.111,1,1,77.96,2024-08-10,低消费低频
USER_0309,18.0,0,3.644264176023256,40.1,17,0.268,0,0,40.63,2024-09-25,低消费高频
USER_0200,25.0,0,8.798406204102921,40.0,8,0.147,0,1,155.11,2024-12-28,低消费高频
USER_0366,38.0,0,10.169538435461314,69.7,25,0.774,0,1,139.09,2024-09-11,低消费高频
USER_0183,34.0,1,11.773728490178318,32.4,15,0.794,1,0,55.4,2024-03-23,低消费高频
USER_0146,43.0,1,13.51718593124912,20.1,9,0.437,0,0,71.76,2024-04-17,低消费高频
USER_0252,30.0,1,18.62092618572779,13.9,4,0.709,0,0,141.98,2024-12-29,低消费高频
USER_0461,,1,18.550974280271504,23.4,8,0.64,0,1,103.61,2024-08-16,低消费高频
USER_0421,44.0,1,15.504861613519829,36.4,14,0.404,1,0,234.61,2024-10-26,低消费高频
USER_0330,37.0,0,13.250722238662771,29.9,11,0.618,0,1,10.0,2024-10-09,低消费高频
USER_0301,42.0,0,10.044876665672119,38.5,14,0.621,1,1,101.54,2024-11-02,低消费高频
USER_0156,32.0,0,17.992663135605937,53.2,25,0.187,0,0,405.8,2024-04-12,高消费高频
USER_0207,32.0,0,4.807944166027204,65.5,29,0.358,0,1,92.1,2024-09-14,低消费高频
USER_0190,24.0,0,14.49302409243615,41.6,10,0.42,1,1,220.29,2024-04-10,高消费高频
USER_0357,32.0,1,12.35834276940122,105.3,48,0.757,0,1,1334.61,2024-11-25,低消费高频
USER_0168,42.0,0,-0.03119075504948654,35.5,16,0.135,0,0,160.81,2024-01-27,低消费高频
USER_0090,,1,16.640225355028463,6.8,3,0.433,1,1,101.38,2024-05-21,低消费高频
USER_0207,32.0,0,18.372142133437908,52.8,25,0.723,0,1,119.79,2024-10-05,低消费高频
USER_0360,27.0,0,6.30877026970035,45.1,17,0.575,0,0,179.15,2024-09-30,高消费高频
USER_0122,30.0,1,12.369663935152511,7.6,3,0.2,1,0,63.53,2024-10-16,低消费高频
USER_0056,26.0,0,11.901254532326863,54.3,17,0.494,0,0,405.99,2024-03-29,高消费低频
USER_0156,32.0,0,10.374186337891876,50.1,16,0.533,0,0,156.28,2024-03-23,高消费高频
USER_0184,,0,21.17101017928137,34.8,17,0.615,1,1,175.02,2024-08-07,高消费高频
USER_0031,20.0,1,11.149076887375358,68.4,15,0.35,1,1,374.95,2024-07-06,高消费高频
USER_0051,37.0,0,6.305834411096154,54.1,18,0.059,1,1,295.47,2024-03-02,高消费高频
USER_0133,32.0,0,9.694151339826906,63.2,28,0.363,1,0,370.72,2024-05-17,高消费高频
USER_0211,53.0,0,12.412208833174212,48.4,13,0.473,1,0,10.0,2024-09-09,高消费高频
USER_0350,37.0,0,7.738159379789996,90.0,40,0.779,1,1,584.69,2024-08-24,高消费高频
USER_0431,,0,9.8776204120411,29.0,12,0.234,1,0,37.94,2024-03-27,低消费高频
USER_0468,32.0,0,11.52295909116676,97.5,42,0.612,0,1,1403.24,2024-10-05,高消费低频
USER_0018,18.0,1,18.122922188130715,44.5,11,0.567,0,1,166.71,2024-06-15,低消费高频
USER_0320,41.0,1,19.108479416424245,45.8,19,0.6,0,0,113.7,2024-03-28,低消费高频
USER_0062,28.0,1,17.949556986205838,45.5,9,0.696,1,0,61.38,2024-06-21,低消费高频
USER_0497,18.0,1,15.698796453486345,29.8,8,0.139,0,1,60.65,2024-05-05,低消费高频
USER_0036,27.0,1,14.557077504649769,90.6,30,0.385,0,1,1319.25,2024-06-14,低消费高频
USER_0073,30.0,1,15.127540084155179,43.5,15,0.244,1,1,101.3,2024-02-06,低消费高频
USER_0283,36.0,1,7.744097587762575,36.1,14,0.286,0,1,65.93,2024-07-25,低消费高频
USER_0282,31.0,0,11.14006752295911,54.4,24,0.443,1,1,423.77,2024-12-10,高消费低频
USER_0355,36.0,0,5.85252421145956,23.8,5,0.739,0,0,71.16,2024-05-03,低消费高频
USER_0351,25.0,0,16.054568863078483,41.3,18,0.325,0,0,395.52,2024-05-15,高消费低频
USER_0145,24.0,0,16.343862502953854,69.3,34,0.764,1,1,400.66,2024-09-03,高消费高频
USER_0175,21.0,0,17.115282776261196,64.5,23,0.635,1,1,120.19,2024-12-02,低消费高频
USER_0062,28.0,1,7.678044645429096,20.7,10,0.734,0,0,120.69,2024-05-12,低消费高频
USER_0307,24.0,1,6.866872585579105,52.2,22,0.634,1,1,84.73,2024-08-24,低消费高频
USER_0226,22.0,0,13.150278057727505,39.2,10,0.126,1,1,113.5,2024-11-22,低消费高频
USER_0006,30.0,0,16.94441368654509,29.0,10,0.49,0,1,64.18,2024-01-02,低消费高频
USER_0151,27.0,1,17.242413255252963,33.1,13,0.547,0,0,311.47,2024-12-22,高消费高频
USER_0283,36.0,1,7.144689854461334,51.9,11,0.057,0,0,58.3,2024-04-05,低消费高频
USER_0009,44.0,1,13.005495233574837,81.4,31,0.144,0,0,426.38,2024-01-26,高消费高频
USER_0172,34.0,1,5.051851645722272,34.0,15,0.713,0,1,74.52,2024-03-02,低消费低频
USER_0045,,0,18.872190465854086,25.1,8,0.383,0,0,81.37,2024-12-16,低消费高频
USER_0230,33.0,0,3.133962961054767,44.9,21,0.477,0,0,81.73,2024-07-01,低消费高频
USER_0185,26.0,0,13.801843579524306,22.8,5,0.358,1,0,125.61,2024-02-15,低消费高频
USER_0352,27.0,1,9.44956711640511,31.9,15,0.714,1,1,103.44,2024-04-01,低消费高频
USER_0337,36.0,1,14.287709670023906,43.9,21,0.566,1,0,109.09,2024-11-02,低消费高频
USER_0477,23.0,0,12.278150618828942,81.8,30,0.673,0,1,1303.15,2024-06-20,低消费高频
USER_0281,25.0,0,11.837480534711553,52.7,14,0.224,0,1,270.65,2024-11-03,高消费高频
USER_0031,20.0,1,17.983157433228257,70.3,18,0.656,1,1,371.98,2024-09-04,高消费高频
USER_0247,39.0,0,13.671635272767517,20.7,7,0.663,1,1,18.48,2024-03-13,低消费高频
USER_0228,35.0,0,16.376450267082646,21.8,6,0.103,0,0,460.56,2024-08-28,高消费高频
USER_0194,39.0,1,14.672718067280952,36.6,13,0.163,0,1,233.58,2024-10-08,高消费高频
USER_0302,26.0,0,10.585950024787268,11.3,3,0.418,1,0,70.95,2024-04-01,低消费高频
USER_0312,22.0,1,15.544682255343584,53.2,18,0.09,1,0,230.99,2024-05-21,高消费高频
USER_0050,33.0,1,-2.162597853881042,52.1,25,0.781,1,1,577.72,2024-06-07,高消费低频
USER_0431,,0,6.7669044595324905,59.3,24,0.273,0,0,142.77,2024-10-02,低消费高频
USER_0453,24.0,0,11.259107332508854,34.4,10,0.313,1,0,428.61,2024-07-18,高消费低频
USER_0112,28.0,0,11.491399872234775,39.6,13,0.1,0,0,103.61,2024-11-27,低消费高频
USER_0226,22.0,0,12.771721163211705,44.7,9,0.08,1,0,62.26,2024-09-25,低消费高频
USER_0337,36.0,1,10.887125363875736,13.5,3,0.453,1,1,112.86,2024-04-26,低消费高频
USER_0206,38.0,1,6.827643214912312,111.4,30,0.695,0,1,2123.9,2024-04-10,异常用户
USER_0278,33.0,1,13.536105221478449,102.1,42,0.73,0,1,942.14,2024-09-16,高消费低频
USER_0365,38.0,0,15.194784071063726,35.3,14,0.452,1,0,111.21,2024-03-31,低消费高频
USER_0182,33.0,0,11.625103704612243,37.6,13,0.427,1,1,329.12,2024-11-24,高消费高频
USER_0047,,0,18.19473176469719,61.8,13,0.44,0,1,95.4,2024-09-01,低消费高频
USER_0387,,1,11.23249652215108,26.5,8,0.516,1,1,28.41,2024-05-06,低消费高频
USER_0042,,0,9.545312750643173,56.4,12,0.252,1,0,70.79,2024-08-15,低消费高频
USER_0446,27.0,1,13.615208118936897,64.2,13,0.179,0,1,139.74,2024-05-06,低消费高频
USER_0146,43.0,1,-0.8676212184906991,15.1,4,0.176,0,0,107.29,2024-02-11,低消费高频
USER_0311,29.0,1,12.106113254171293,44.4,15,0.27,1,1,278.78,2024-11-27,高消费高频
USER_0111,29.0,0,8.357691891598286,28.1,13,0.536,1,1,73.53,2024-07-02,低消费高频
USER_0286,29.0,0,12.378133891952018,20.0,7,0.068,1,1,23.42,2024-11-18,低消费低频
USER_0385,31.0,1,21.744815557238095,29.3,12,0.712,0,0,220.89,2024-02-12,高消费高频
USER_0207,32.0,0,11.980979331646003,6.0,3,0.226,0,0,102.65,2024-03-13,低消费高频
USER_0051,37.0,0,11.044861186999155,5.3,3,0.605,1,1,273.94,2024-01-19,高消费高频
USER_0406,30.0,1,12.667216395219903,90.5,22,0.425,1,1,837.87,2024-07-13,高消费低频
USER_0170,,0,14.558894893252472,54.7,23,0.088,0,0,14.17,2024-04-12,低消费高频
USER_0057,28.0,0,5.7380327779344045,5.0,3,0.609,1,1,69.17,2024-09-11,低消费高频
USER_0446,27.0,1,11.520864596208472,32.4,8,0.352,1,0,63.55,2024-08-07,低消费高频
USER_0040,31.0,1,17.502988033806552,35.7,11,0.105,0,0,72.3,2024-11-04,高消费高频
USER_0337,36.0,1,5.176618370497292,54.1,20,0.496,1,1,124.48,2024-07-13,低消费高频
USER_0178,34.0,0,11.575704775053238,44.7,13,0.719,1,1,392.76,2024-12-28,高消费高频
USER_0391,30.0,1,9.829833228382,30.3,13,0.569,0,1,77.75,2024-02-02,低消费高频
USER_0160,44.0,0,10.029221144076013,46.7,20,0.338,1,0,105.22,2024-03-23,低消费高频
USER_0077,42.0,1,13.8436657365876,56.3,16,0.217,1,1,381.42,2024-07-11,高消费高频
USER_0040,31.0,1,2.9498379836371047,61.0,21,0.58,1,1,318.96,2024-11-18,高消费高频
USER_0072,28.0,1,7.943714404314038,110.4,48,0.384,0,1,1259.27,2024-11-28,低消费高频
USER_0119,28.0,0,13.39633919108263,69.1,26,0.545,1,1,557.27,2024-01-22,高消费高频
USER_0110,26.0,1,0.8336059032211782,51.7,12,0.52,0,1,153.72,2024-04-22,高消费高频
USER_0100,25.0,1,14.734805477316451,63.5,29,0.504,1,1,101.27,2024-11-16,低消费低频
USER_0311,29.0,1,12.155317131994657,32.9,14,0.183,1,1,319.33,2024-08-20,高消费高频
USER_0283,36.0,1,8.875826907827587,24.7,5,0.309,0,0,160.49,2024-02-03,低消费高频
USER_0194,39.0,1,13.774369014680232,18.0,7,0.444,0,1,112.8,2024-05-28,高消费高频
USER_0029,30.0,0,14.691480395248165,63.2,26,0.509,0,1,123.67,2024-08-16,低消费高频
USER_0182,33.0,0,5.1417767802305825,180.0,78,0.329,0,1,7177.81,2024-12-22,高消费高频
USER_0155,,1,10.270403354764147,70.3,19,0.3,0,0,840.82,2024-11-06,高消费低频
USER_0227,33.0,1,16.364085415891672,66.6,33,0.687,1,0,106.11,2024-07-12,低消费高频
USER_0200,25.0,0,13.329662931591312,27.8,10,0.413,0,1,55.57,2024-07-20,低消费高频
